track_genre_clean,danceability,energy,acousticness,valence,instrumentalness,liveness,speechiness
show-tunes,0.46280931937172776,0.3977345130890052,0.6384270434554974,0.3748590575916231,0.034906864450261775,0.21543434554973823,0.11092680628272251
ska,0.5804345047923323,0.8026549520766773,0.11873660505857295,0.7060223642172524,0.02675014555910543,0.2781174653887114,0.07241938232161875
sleep,0.14502114427860696,0.3467438043532338,0.6234343547014926,0.038260449004975126,0.7761396378606965,0.3688308457711443,0.05622786069651741
songwriter,0.5757474747474748,0.39978874458874464,0.6042017922077922,0.39378629148629146,0.034158274545454545,0.1480044733044733,0.048343722943722946
soul,0.636970684039088,0.536914657980456,0.36801894267100976,0.44743452768729647,0.027110672410423454,0.16317100977198698,0.07075667752442998
spanish,0.5996814058956916,0.7020192743764173,0.2678273604081633,0.5410834467120181,0.017460090589569162,0.2272216553287982,0.08929319727891157
study,0.6849962406015037,0.39612080200501254,0.5484310827067669,0.39561591478696745,0.79503479160401,0.15871115288220553,0.10111641604010024
swedish,0.5959658536585366,0.6471484146341463,0.2960990167317073,0.5555518292682927,0.01947051751219512,0.19180048780487804,0.06813853658536585
synth-pop,0.6175746864310149,0.7122610034207526,0.15360022605473206,0.5751403648802736,0.0867343224059293,0.18318820980615735,0.04826031927023945
tango,0.5369593908629441,0.37450964467005077,0.845329883248731,0.5834137055837564,0.1363958383857868,0.23078355329949238,0.07983482233502538
techno,0.6818335170893054,0.7420738699007718,0.08491115697905183,0.31614145534729876,0.5431770428886439,0.1628177508269019,0.06431819184123484
trance,0.5748834841628959,0.846760180995475,0.0342110915158371,0.2657700226244344,0.4447925693552036,0.2381343891402715,0.0777802036199095
trip-hop,0.6386334371754933,0.6227736240913812,0.2268682250778816,0.47476718587746625,0.3915540473520249,0.19059543094496365,0.0744404984423676
turkish,0.6142354145342885,0.6089310133060389,0.32371529631525076,0.4611747185261003,0.03602687856704197,0.1814932446264074,0.10550255885363358
world-music,0.41420612244897964,0.5345630003061225,0.2952059127244898,0.248687306122449,0.09350758465306122,0.2513926530612245,0.041645
